file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_laugh-amused_20-m,amusement,1.568,514.363,1558.346,2539.26,4188.46,4905.47,5444.556,261.303,372.2,401.75,401.753,98.967,161.664,399.635,383.716,507.837,738.951,1861.515,506.609,150.518,14.346,10.492,10.02,983.053,17.802,-2.634
ut_laugh-amused_21-m,amusement,2.909,572.855,1117.951,2401.402,3233.289,3728.317,4436.86,324.02,172.45,469.4,486.695,29.671,104.242,541.122,524.945,727.593,1303.062,2869.373,1059.04,188.394,15.47,12.178,4.43,1070.542,16.347,-2.390
ut_laugh-amused_28-f,amusement,5.802,1235.15,1655.85,3485.173,4149.772,8641.535,9392.286,247.282,238.27,82.48,397.74,43.302,82.484,388.207,248.419,1279.532,1631.607,2495.985,1235.615,206.897,10.773,19.206,3.18,1215.34,14.399,--undefined--
ut_laugh-amused_31-m,amusement,2.356,451.51,1565.934,3461.897,4769.321,5340.336,6682.361,344.995,370.1,383.09,459.542,76.326,145.802,539.822,529.556,388.369,650.91,1640.094,358.699,252.16,13.581,18.567,2.43,925.829,18.902,-1.304
ut_laugh-amused_32-f,amusement,1.392,743.202,1615.35,3641.442,4036.592,4872.321,6213.086,355.209,381.51,410.34,447.79,7.204,289.545,623.589,570.45,739.85,871.489,2130.47,750.63,272.258,14.012,19.43,11.28,927.813,18.862,-2.971
ut_laugh-amused_35-m,amusement,8.075,613.643,1600.789,2889.723,4135.703,4816.307,5955.873,296.431,95.47,285.05,457.949,77.273,95.475,486.14,433.646,1139.044,1828.357,3441.773,1641.145,281.49,9.907,28.413,2.24,1017.382,17.201,-1.464
ut_laugh-amused_39-m,amusement,1.301,532.975,1719.563,2362.414,3121.233,3666.55,4698.402,136.858,150.93,140.77,165.143,72.892,81.508,282.793,226.372,457.969,675.382,2177.343,510.726,176.411,8.841,19.953,3.84,1085.07,16.128,-1.803
ut_laugh-amused_41-f,amusement,1.769,699.299,1297.765,2351.837,4515.875,5154.196,5657.101,327.878,272.92,333.68,469.108,32.077,166.914,804.829,488.87,697.926,1169.688,3237.647,684.74,243.369,9.328,26.089,5.45,889.054,19.684,-2.183
ut_laugh-amused_45-m,amusement,2.818,757.22,1542.514,2411.934,3122.361,3855.004,5269.042,290.173,319.91,179.05,416.258,79.663,118.552,771.415,702.891,720.913,974.698,2044.587,759.582,229.876,12.242,18.778,5.58,1047.72,16.703,-1.760
ut_laugh-amused_46-m,amusement,1.62,704.164,1268.515,2032.017,2650.565,4693.681,5312.15,164.617,311.64,166.1,311.642,1.859,102.316,378.698,326.755,672.095,981.445,2077.644,712.367,271.652,8.641,31.438,3.04,917.976,19.064,-1.425
ut_laugh-amused_48-f,amusement,0.745,529.644,1955.965,3174.583,4482.775,5308.528,6885.887,335.47,336.03,196.75,415.901,28.783,196.755,743.769,664.049,416.453,717.316,1633.443,400.425,141.219,9.394,15.033,8.84,1216.253,14.388,-2.245
